PROVINCIAS	A_BRUNS_LINDER	A.M.C.	AC_CARS	ACURA	ADRIA	ALFA_ROMEO	ALLIED_VEHICLES_LTD	ALPINA	ALPINE	ALPINE_RENAULT	AMF_HARLEY_DAVIDSON	APRILIA	ARIEL	ASTON_MARTIN	AUDI	AUSTIN	AUSTIN_MORRIS	AUSTIN_ROVER	AUSTIN-HEALEY	AUTOMOBILI_LAMBORGHINI	AUTONACIONAL	AUTOUNION-DKW	AVELING_BARFORD	B.M._VOLVO_VIKING	BAYER.MOT.WERKW-BMW	BENTLEY	BESSIA_MOTORSPORT	BISCUTER	BMW	BMW_I	BOMBARDIER	BUGATTI	BUICK	BWW	C.M.C.	CADILLAC	CAPRON	CAPRON_GMBH	CARBODIES	CATERHAM	CBP	CHALLENGER	CHEVROLET	CHRY	CHRYSLER	CHRYSLER_LLC_DODGE	CHRYSLER_LLC_JEEP	CITROEN	CITROËN	CLASSIC_CAR_WITTEK	CORVETTE	CUPRA	DACIA	DAEWOO	DAIHATRA	DAIHATSU	DAIMLER	DAIMLER_AG	DAIMLER_BENZ_AG	DAIMLER_CHRYSLER	DAIMLERCHRYSLER_CO_JEEP	DATSUN	DE_SOTO	DFSK	DODGE	DR	DREAMER	DS	DUCATI	DUTTON	ERIBA-HYMER	FERRARI	FIAT	FORD	FORD_CNG_TECHNIK	FRANKLIN_AUTOMOBILE	FRUA_PORSCHE	GAMC	GAZ	GMC	GOGGOMOBIL	GREAT_WALL	HOLMAN	HONDA	HURRICANE	HYUNDAI	HYUNDAI_MOTOR	INFINITI	INNOCENTI	ISO	ISUZU	JAC	JAGUAR	JAGUAR_CARS_LTD	JAGUAR_DAIMLER	JAGUAR_LAND_ROVER	JAGUAR_LAND_ROVER_LIMIT	JAGUAR_LAND_ROVER_LTD	JEEP	JETSTREAM_SC250	JIMINI	KARMANN-MOBIL	KIA	KIA_MOTOR_(ROK)	KIA_MOTORS	L.M.	LADA	LAIKA	LAIKA_CARAVANS_SPA	LAMBORGHINI	LANCIA	LAND__ROVER	LAND_ROVER	LEXUS	LEYLAND	LINCOLN	LOCUST	LONDON_TAXIS_INTERNAT.	LOTUS	LOTUS_CARS_LTD	M.G.	MAHINDRA	MARC_MAÑAS	MASERATI	MAZDA	MCC	MCC_SMART	MCLAREN	MERCEDES-AMG	MERCEDES-BENZ	MERCURY	MEYERS_MANX	MG_CAR_COMP	MICRO_COMPACT_CAR_SMART	MIMSA	MINI	MITSUBISHI	MK	MORGAN	MORRIS	NETHERLANDS_CAR	NISSAN	OLDSMOBILE	OLEOPEL	OLMEDO	OPEL	PACKARD	PEUGEOT	PGO	PILGRIM	PLA	PLYMOUTH	POESSL	PONTIAC	PORSCHE	RAM	RENAULT	RENAULT_TECH	RILEY	ROLLS_ROYCE	ROVER	SAAB	SALVADOR	SATURN	SCION	SEAT	SIFTT	SIMCA	SIN_MARCA	SKODA	SMART	SOVRA_LM	SSANGYONG	STANDARD_STEELL	STUDEBAKER	SUBARU	SUN_LIVING	SUZUKI	T.V.R.	TATA	TESLA	TESLA_MOTORS	THOROUGHRED	TOYOTA	TRABANT	TRIPOD	TRIUMPH	TSD	VAUXHALL	VAZ	VOISIN_AUTONACIONAL	VOLKNER	VOLKSWAGEN	VOLKSWAGEN_AG	VOLKSWAGEN_V_W	VOLVO	VW-PORSCHE	WESTFIELD	WIESMANN	WILLYS_OVERLAND	WILLYS_VIASA
Araba/Álava	0	0	0	0	0	10	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1532	0	0	0	2	269	1	0	0	0	1	0	0	0	0	0	1	0	0	0	97	0	0	0	0	52	361	2	0	0	0	0	0	0	0	0	51	0	620	0	0	0	0	0	0	4	0	0	0	0	0	23	0	0	0	255	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	130	0	1	0	0	197	0	0	0	0	0	41	50	0	0	0	0	174	0	0	0	210	0	796	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	165	0	0	0	113	0	0	6	0	0	15	0	15	0	0	0	0	0	405	0	0	0	0	0	0	0	0	289	0	18	157	0	0	0	0	0
Albacete	0	0	0	0	0	142	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	150	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	180	0	0	0	4	189	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1441	162	2	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0	331	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	177	0	1	0	0	240	0	0	0	0	0	21	36	0	0	0	0	141	0	0	0	172	0	226	0	0	0	0	0	0	5	0	64	0	0	0	0	0	0	0	0	357	0	0	0	153	5	0	17	0	0	8	0	54	0	0	0	0	0	241	1	0	0	0	0	0	0	0	442	0	9	98	0	0	0	0	0
Alicante/Alacant	0	0	0	1	1	58	0	0	0	0	0	0	0	2	1089	0	1	0	0	0	0	0	2	2	0	13	0	0	1396	17	0	0	0	0	0	0	0	0	0	0	0	0	36	0	20	0	1	2671	1	0	0	17	1693	0	0	3	0	0	0	0	0	0	0	2	8	3	0	69	0	0	0	3	3774	2691	18	0	2	0	0	0	0	0	0	181	0	3249	0	12	0	0	0	0	73	2	0	1	0	0	187	0	3	0	2627	2	2	0	0	0	0	1	12	1	27	293	0	1	0	1	2	0	10	0	0	7	506	0	5	1	3	2039	1	0	0	3	0	418	242	0	1	0	0	2107	1	1	0	2540	0	3340	1	0	0	2	0	1	112	0	2115	0	0	0	6	25	0	0	0	1826	0	0	0	1395	39	0	43	0	0	53	0	206	1	0	3	1	0	2455	0	0	1	0	31	0	0	0	2439	0	9	298	0	0	0	0	0
Almería	0	0	0	0	0	6	0	0	0	0	0	0	0	1	438	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	1004	0	0	0	11	152	0	0	0	0	0	0	1	0	0	0	4	1	3	0	51	0	0	0	0	24	438	2	0	0	0	0	1	0	0	0	29	0	530	0	1	0	0	0	0	14	0	0	0	0	0	11	0	4	0	565	0	0	0	0	0	0	0	1	0	7	7	0	1	0	0	0	0	1	0	0	2	162	0	1	0	0	600	0	0	0	0	0	24	91	0	0	0	0	39	0	0	0	314	0	248	0	0	0	0	0	0	10	0	133	0	0	0	2	4	0	0	0	588	0	0	0	184	12	1	20	0	0	14	0	26	0	0	0	1	0	478	0	0	0	0	21	0	0	1	733	2	35	150	0	0	0	0	0
Ávila	0	0	0	0	0	24	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	5	0	0	0	0	0	0	0	0	1	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	190	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	104	0	0	0	0	51	0	0	0	0	0	1	24	0	0	0	0	13	0	0	0	96	0	39	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	13	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	10	0	1	77	0	0	0	0	0
Badajoz	0	0	0	0	0	1	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	1	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	813	0	0	0	15	680	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	9	454	4	0	0	0	0	0	0	0	0	3	0	671	0	7	0	0	0	0	9	0	0	0	0	1	8	0	0	0	516	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	3	115	0	1	1	3	549	0	0	0	0	0	23	51	0	0	0	0	219	0	0	0	511	0	611	0	0	0	0	0	0	24	0	362	0	0	0	0	1	0	0	0	782	0	0	0	384	3	0	39	0	0	14	0	24	0	0	2	1	0	520	0	0	0	0	0	0	0	0	619	0	21	192	0	0	0	0	0
Balears (Illes)	0	0	0	0	0	151	0	0	0	0	0	0	0	2	579	0	0	0	1	0	0	0	0	0	0	0	0	0	319	8	1	0	1	0	0	0	0	0	0	0	0	0	6	0	4	0	0	756	0	0	0	5	1138	1	0	3	0	0	0	0	0	0	0	3	2	0	0	7	0	0	0	4	2703	1388	23	0	0	0	1	0	0	0	0	71	1	1491	0	2	0	0	0	0	8	0	0	0	0	0	514	0	0	0	1217	0	0	0	1	0	0	1	3	0	29	5	0	0	0	0	0	0	6	0	0	9	491	0	10	2	1	511	0	0	0	0	0	447	223	0	0	0	0	667	1	0	1	1367	0	2024	0	0	0	0	0	2	84	0	1223	1	0	2	0	3	0	0	0	1014	0	0	0	393	25	0	36	0	0	20	0	135	0	0	0	0	0	292	0	0	2	0	0	0	0	0	1482	0	2	97	0	0	0	0	0
Barcelona	0	0	0	0	7	400	0	0	6	0	0	0	0	6	3163	0	0	0	0	9	0	0	2	0	0	15	0	1	2453	58	0	1	0	0	0	2	0	0	0	1	0	0	23	0	5	0	0	5647	1	0	0	410	5746	0	0	1	0	0	0	0	0	0	0	17	7	63	0	403	0	0	0	18	4430	5358	76	0	1	0	0	0	0	0	0	955	0	3735	1	18	0	1	0	0	97	0	0	0	1	0	2438	0	3	0	6884	1	1	0	0	0	0	1	5	0	49	1060	0	0	0	0	5	2	1	5	0	30	2104	1	174	5	16	4679	1	0	0	0	0	1232	736	0	0	0	0	5152	1	0	0	3227	0	7014	0	0	0	1	2	0	347	0	4172	3	1	1	0	0	1	0	0	15368	0	1	0	3150	60	0	249	0	0	372	0	755	0	0	23	4	0	7114	0	0	0	1	0	0	0	0	8531	3	37	629	0	2	0	0	2
Burgos	0	0	0	0	0	28	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	151	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	422	0	0	0	3	317	0	0	0	0	0	0	0	0	0	0	26	0	11	0	0	0	0	0	0	50	97	0	0	0	0	0	0	0	0	0	43	0	268	0	0	0	0	0	0	4	0	0	0	0	0	35	0	1	0	357	0	0	0	0	0	0	0	1	0	1	297	0	0	0	0	0	0	1	0	0	1	132	0	1	0	0	206	0	0	0	0	0	29	85	0	0	0	0	139	0	0	0	273	0	383	0	0	0	0	0	0	10	0	317	0	0	0	0	1	0	0	0	321	0	0	0	166	1	0	28	0	0	21	0	41	0	0	1	0	0	319	0	0	0	0	0	0	0	0	357	0	5	91	0	0	0	0	0
Cáceres	0	0	0	0	0	1	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	56	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	258	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	2	102	0	0	0	0	0	9	19	0	0	0	0	151	0	0	0	135	0	16	0	0	0	0	0	0	14	0	358	0	0	0	0	1	0	0	0	9	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	350	0	0	0	0	1	0	0	0	304	0	11	57	0	0	0	0	0
Cádiz	0	0	0	4	0	18	0	0	0	0	0	0	0	0	754	1	0	0	0	0	0	1	0	0	0	1	0	0	459	1	0	0	0	0	0	2	0	0	1	0	0	0	20	0	8	0	0	704	0	0	0	3	1315	0	0	0	0	0	0	2	0	0	0	2	14	0	0	0	0	0	0	1	124	706	13	0	1	0	0	2	0	0	0	98	0	1017	0	3	0	0	1	0	30	0	0	0	0	0	100	0	0	0	967	0	0	0	0	0	0	0	1	0	29	10	0	0	0	0	0	0	0	0	0	2	270	0	5	0	2	842	1	0	0	0	0	122	158	0	0	0	0	48	0	0	0	306	0	1265	0	1	0	0	0	1	7	3	957	0	0	0	0	1	0	1	3	400	0	0	0	593	2	0	34	0	0	41	0	67	0	0	1	0	0	1342	0	0	1	0	0	0	0	0	1655	0	8	191	0	0	0	0	0
Castellón/Castelló	0	0	0	0	0	25	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	1	0	0	0	0	238	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1031	0	0	0	11	83	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	220	789	95	0	1	0	0	0	0	0	0	41	0	351	0	2	0	0	0	0	5	0	0	0	0	0	121	0	0	0	67	0	0	0	0	0	0	0	1	1	13	141	0	0	0	0	0	0	0	0	0	2	256	0	3	0	2	458	0	0	0	0	0	79	51	0	0	1	0	334	0	0	0	643	0	865	0	0	0	0	0	0	6	0	93	0	0	0	1	3	0	0	0	644	0	0	0	335	2	0	18	0	0	15	0	25	0	0	1	0	0	1249	0	0	0	0	3	0	0	0	929	2	4	29	0	0	0	0	0
Ciudad Real	0	0	0	0	0	12	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	372	0	0	0	2	391	1	0	0	0	0	0	0	0	0	0	0	1	0	0	28	0	0	0	0	118	184	1	0	1	0	0	0	0	0	0	1	0	145	0	4	0	0	0	0	7	0	0	0	0	0	67	0	2	0	400	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	59	0	1	0	0	266	0	0	0	0	0	39	1	0	0	0	0	139	0	0	0	174	0	352	0	0	0	0	0	0	2	0	251	1	0	0	0	0	0	0	0	332	0	1	0	129	0	0	15	0	0	1	0	18	0	0	1	1	0	148	0	0	0	0	1	0	0	0	588	0	3	140	0	0	0	0	0
Córdoba	0	0	0	0	0	12	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	2	0	0	164	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1153	0	0	0	5	798	0	0	0	0	0	0	0	0	0	0	4	2	3	0	73	0	0	0	0	124	224	1	0	0	0	0	0	0	0	0	30	0	1449	0	2	0	0	1	0	11	0	0	0	1	0	45	0	0	0	1444	0	0	0	0	0	0	0	1	0	9	4	0	0	0	0	0	0	0	4	0	15	171	0	2	0	2	561	0	0	0	0	0	27	101	0	0	0	0	1016	0	0	0	25	0	1484	0	0	0	0	0	0	25	0	651	0	0	0	0	1	0	0	0	769	0	0	0	177	2	0	15	0	0	36	0	81	0	0	0	2	0	459	0	0	0	0	1	0	0	0	360	0	30	413	0	0	0	0	0
Coruña (A)	0	0	0	0	0	53	0	0	0	0	0	0	0	1	1398	0	0	0	0	0	0	0	0	0	0	1	0	0	824	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	210	0	0	0	11	811	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	315	655	14	0	1	0	0	0	0	0	0	118	0	774	0	4	0	0	0	0	12	0	0	0	0	0	117	0	8	0	617	0	0	0	0	0	0	1	1	0	2	221	0	0	0	0	1	0	1	0	0	4	254	0	3	2	6	1540	0	0	0	1	0	221	88	0	1	0	1	465	0	0	0	610	0	1220	0	0	0	0	0	1	95	0	853	1	0	0	1	1	0	0	0	1291	0	0	0	393	12	0	8	0	0	14	0	33	0	0	1	1	0	1449	0	5	0	0	1	0	1	0	621	9	142	212	0	0	0	0	0
Cuenca	0	0	0	0	0	2	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	26	42	0	0	0	0	0	0	0	0	0	1	0	83	0	5	0	0	0	0	3	0	0	0	0	0	2	0	0	0	169	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	158	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	92	0	37	0	0	0	0	0	0	1	0	23	0	0	0	0	0	0	0	0	104	0	0	0	1	1	0	9	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	59	0	8	12	0	0	0	0	0
Girona	0	0	0	0	0	39	0	1	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	0	0	0	139	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	954	0	0	0	9	698	0	0	0	0	0	0	0	1	0	0	1	1	2	0	42	0	0	0	0	249	289	6	0	0	1	0	0	0	0	0	77	0	1185	0	7	0	0	0	0	13	0	0	0	0	0	149	0	0	0	594	0	0	0	0	0	0	0	1	0	11	160	0	0	0	0	1	0	0	0	1	2	9	0	3	0	2	495	0	0	0	0	0	21	144	0	0	0	0	453	0	0	0	313	0	922	0	0	0	0	0	0	26	0	591	0	0	0	0	1	0	0	0	772	0	0	0	952	2	0	1	0	0	4	0	88	0	0	1	1	0	901	0	0	0	0	0	0	0	1	1094	0	13	49	0	0	0	1	1
Granada	0	0	0	0	0	20	0	0	0	0	0	0	0	0	681	0	0	0	0	0	0	0	0	0	0	2	0	0	540	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	1043	0	0	0	7	141	0	0	3	0	0	0	0	0	0	0	4	0	0	0	33	0	0	0	1	250	377	3	0	1	0	0	0	0	0	0	64	0	526	0	2	0	0	0	0	16	0	0	1	3	0	83	0	18	0	896	0	0	0	0	0	0	0	0	1	15	104	0	0	0	0	0	0	1	1	0	3	288	0	1	0	1	747	0	0	0	1	0	161	102	0	0	0	0	173	0	0	0	34	0	329	0	0	0	0	0	0	30	0	142	0	0	0	0	0	0	0	0	1000	0	0	0	233	20	0	34	0	1	20	0	8	0	1	0	1	1	601	0	0	1	0	1	0	0	0	1550	0	15	136	0	0	0	0	0
Guadalajara	0	0	0	0	0	7	0	0	0	0	0	1	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	377	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	58	0	0	0	0	37	17	1	0	0	0	0	0	0	0	0	2	0	20	0	0	0	0	0	0	1	0	0	0	1	0	7	0	1	0	50	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	98	0	0	0	0	44	0	0	0	1	0	6	193	0	0	0	0	92	0	0	0	18	0	562	0	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	703	0	0	0	186	2	0	12	0	0	20	0	62	0	0	1	1	0	5	0	0	0	0	0	0	0	0	56	3	7	264	0	0	0	0	0
Gipuzkoa	0	0	0	0	0	12	13	1	0	1	0	0	0	0	394	1	0	0	0	0	0	0	1	0	0	0	0	0	253	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	973	0	0	0	10	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	869	21	0	0	0	0	0	1	0	0	30	0	524	0	0	0	0	0	0	9	0	0	0	0	0	33	0	0	0	632	0	0	0	0	0	0	0	1	1	7	1	0	1	0	0	0	0	0	0	0	0	299	0	2	0	2	428	0	0	0	0	0	97	88	0	0	0	0	203	0	0	0	743	0	1182	0	0	0	0	0	0	4	0	573	0	0	1	0	0	0	0	0	665	0	0	0	344	0	0	13	0	0	37	0	47	0	0	2	0	0	549	0	0	0	0	2	0	0	0	1038	1	11	157	0	0	0	0	0
Huelva	0	0	0	0	0	2	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	127	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	21	0	0	0	5	162	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	278	3	0	2	0	0	0	0	0	0	21	0	9	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	452	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	245	0	0	0	0	0	35	18	0	0	0	0	4	0	0	0	196	0	19	0	0	0	0	0	0	3	0	76	0	0	0	0	0	0	0	0	326	0	0	0	4	3	0	29	0	0	3	0	9	0	0	1	0	0	364	0	0	0	0	0	0	0	0	111	0	8	14	0	0	0	0	0
Huesca	0	0	0	0	0	14	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	366	0	0	0	3	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	66	10	0	0	0	0	0	0	0	0	0	1	0	178	0	0	0	0	0	0	1	0	0	0	0	0	43	0	0	0	201	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	1	0	0	0	0	5	99	0	0	0	1	204	0	0	0	0	0	3	0	0	0	0	0	75	0	0	0	455	0	419	0	0	0	0	0	0	1	0	273	0	0	0	0	0	0	0	0	327	0	0	0	141	0	0	11	0	0	38	0	44	0	0	1	0	0	161	0	0	0	0	0	0	0	0	306	0	3	35	0	0	0	0	0
Jaén	0	0	0	0	0	27	0	0	0	0	0	0	0	0	379	0	0	0	0	1	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	365	1	0	0	4	1308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	109	252	5	0	1	0	0	2	0	0	0	15	0	376	0	1	0	0	0	0	2	0	0	0	4	0	75	0	1	0	174	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	4	31	0	0	1	2	561	0	0	0	0	0	19	10	0	0	0	0	350	0	0	0	204	0	334	0	0	0	0	0	0	16	0	1101	0	0	0	0	1	0	0	0	429	0	0	1	199	9	0	20	0	0	7	0	4	0	0	1	1	0	325	0	0	0	0	0	0	0	0	540	1	12	101	0	0	0	0	0
León	0	0	0	0	0	12	0	0	0	0	0	0	0	2	292	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	609	0	0	0	7	332	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	79	193	3	0	2	0	0	0	0	0	0	2	0	157	0	0	0	0	0	0	7	0	0	0	0	0	33	0	0	0	375	0	0	0	0	0	0	3	1	0	4	3	0	0	0	0	0	0	0	0	0	7	90	0	0	0	0	406	0	0	0	0	0	54	41	0	0	0	0	37	0	0	0	42	0	560	0	0	0	0	0	0	42	0	483	0	0	0	0	0	0	0	0	348	1	0	0	107	1	0	15	0	0	29	0	76	0	0	0	1	0	473	0	0	0	0	0	0	0	0	528	2	5	98	0	0	0	0	0
Lleida	0	0	0	0	0	18	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	5	552	0	0	0	0	0	0	0	0	0	0	1	0	5	0	35	0	0	0	0	61	322	4	0	0	0	0	0	0	0	0	36	0	313	0	0	0	0	0	0	7	0	0	0	0	0	65	0	0	0	323	0	0	1	0	0	0	1	0	0	6	1	0	0	0	0	0	0	1	0	0	1	121	0	0	1	3	297	0	0	0	0	0	60	69	0	0	0	0	162	0	0	0	273	0	972	0	0	0	0	0	0	10	0	349	0	0	1	0	1	0	0	0	424	0	0	0	124	2	0	15	0	0	11	0	28	0	0	1	2	0	379	0	0	0	0	0	0	0	0	534	0	1	79	0	0	0	0	0
Rioja (La)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	207	0	0	0	0	0	0	0	1	0	0	0	0	0	163	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	376	0	0	0	3	254	0	0	0	0	2	0	0	0	0	0	0	0	0	0	39	0	0	0	0	6	241	2	0	0	0	0	0	0	0	0	35	0	214	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	327	0	0	0	0	0	0	0	0	0	7	86	0	0	0	0	1	0	0	0	0	3	56	0	1	0	0	245	0	0	0	0	0	7	24	0	0	0	0	142	0	0	0	171	0	610	0	0	0	0	0	0	8	0	236	0	0	0	0	1	0	0	0	257	0	0	0	138	0	0	1	0	0	1	0	67	0	0	0	0	0	276	0	0	0	0	0	0	0	0	341	0	8	61	0	0	0	0	0
Lugo	0	0	0	0	0	9	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	105	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	253	0	0	0	2	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	316	5	0	1	0	0	0	0	0	0	33	0	249	0	1	0	0	0	0	1	0	0	0	0	0	30	0	0	0	256	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	62	0	0	0	4	395	0	0	0	0	0	28	48	0	0	0	0	159	0	0	0	175	0	317	0	0	0	0	0	0	10	0	573	1	0	0	0	0	0	0	0	265	0	0	0	183	2	0	22	0	0	13	0	45	0	0	1	0	0	159	0	2	0	0	0	0	0	0	280	0	35	89	0	0	0	0	0
Madrid	1	0	0	0	0	881	0	0	8	0	2	0	0	11	19940	1	0	0	0	22	0	0	6	0	0	35	0	0	16792	175	0	0	1	0	0	4	0	0	0	0	0	0	31	0	0	1	1	19276	1	1	0	70	7409	0	0	2	1	1	0	1	0	0	0	10	11	2	0	2745	1	0	0	37	9135	8360	591	0	4	0	0	0	0	0	0	1129	0	11943	0	49	1	0	0	0	384	0	0	0	7	1	1333	0	5	1	11336	0	0	0	0	1	0	10	11	0	229	3131	0	0	0	0	2	0	2	0	0	90	4171	0	528	8	21	20850	0	0	0	0	0	3356	783	0	2	0	0	11790	0	0	0	8867	1	30864	0	0	0	0	0	1	734	0	24724	7	0	7	0	5	0	0	0	21067	0	0	0	5739	327	0	635	0	0	490	0	535	0	0	1423	39	0	21683	0	0	1	0	3	0	0	0	28353	0	40	5204	1	1	0	0	0
Málaga	0	1	0	1	1	67	0	0	0	0	0	0	1	5	1587	0	0	1	1	5	0	0	1	0	0	26	0	0	1770	20	0	0	1	0	0	4	0	0	0	0	0	0	18	0	11	0	0	1221	5	0	0	21	1169	0	1	0	2	2	0	0	0	0	0	3	8	0	0	24	0	0	1	25	591	552	9	0	5	0	0	0	0	0	0	150	0	1089	0	5	0	0	0	1	71	1	1	0	3	0	218	0	3	0	1310	0	0	0	0	0	1	6	6	5	48	196	0	0	0	0	2	0	5	0	0	15	31	0	9	0	12	1685	0	0	0	1	0	493	227	0	0	0	0	989	0	0	0	1460	0	1464	0	0	0	0	1	0	228	0	2008	0	0	6	3	13	0	0	0	1775	0	0	0	602	34	0	43	0	0	36	0	120	0	0	6	3	0	1423	0	0	1	0	15	0	0	0	2745	0	41	67	0	0	0	0	0
