PROVINCIAS	A_BRUNS_LINDER	A.M.C.	AC_CARS	ACURA	ADRIA	ALFA_ROMEO	ALLIED_VEHICLES_LTD	ALPINA	ALPINE	ALPINE_RENAULT	AMF_HARLEY_DAVIDSON	APRILIA	ARIEL	ASTON_MARTIN	AUDI	AUSTIN	AUSTIN_MORRIS	AUSTIN_ROVER	AUSTIN-HEALEY	AUTOMOBILI_LAMBORGHINI	AUTONACIONAL	AUTOUNION-DKW	AVELING_BARFORD	B.M._VOLVO_VIKING	BAYER.MOT.WERKW-BMW	BENTLEY	BESSIA_MOTORSPORT	BISCUTER	BMW	BMW_I	BOMBARDIER	BUGATTI	BUICK	BWW	C.M.C.	CADILLAC	CAPRON	CAPRON_GMBH	CARBODIES	CATERHAM	CBP	CHALLENGER	CHEVROLET	CHRY	CHRYSLER	CHRYSLER_LLC_DODGE	CHRYSLER_LLC_JEEP	CITROEN	CITROËN	CLASSIC_CAR_WITTEK	CORVETTE	CUPRA	DACIA	DAEWOO	DAIHATRA	DAIHATSU	DAIMLER	DAIMLER_AG	DAIMLER_BENZ_AG	DAIMLER_CHRYSLER	DAIMLERCHRYSLER_CO_JEEP	DATSUN	DE_SOTO	DFSK	DODGE	DR	DREAMER	DS	DUCATI	DUTTON	ERIBA-HYMER	FERRARI	FIAT	FORD	FORD_CNG_TECHNIK	FRANKLIN_AUTOMOBILE	FRUA_PORSCHE	GAMC	GAZ	GMC	GOGGOMOBIL	GREAT_WALL	HOLMAN	HONDA	HURRICANE	HYUNDAI	HYUNDAI_MOTOR	INFINITI	INNOCENTI	ISO	ISUZU	JAC	JAGUAR	JAGUAR_CARS_LTD	JAGUAR_DAIMLER	JAGUAR_LAND_ROVER	JAGUAR_LAND_ROVER_LIMIT	JAGUAR_LAND_ROVER_LTD	JEEP	JETSTREAM_SC250	JIMINI	KARMANN-MOBIL	KIA	KIA_MOTOR_(ROK)	KIA_MOTORS	L.M.	LADA	LAIKA	LAIKA_CARAVANS_SPA	LAMBORGHINI	LANCIA	LAND__ROVER	LAND_ROVER	LEXUS	LEYLAND	LINCOLN	LOCUST	LONDON_TAXIS_INTERNAT.	LOTUS	LOTUS_CARS_LTD	M.G.	MAHINDRA	MARC_MAÑAS	MASERATI	MAZDA	MCC	MCC_SMART	MCLAREN	MERCEDES-AMG	MERCEDES-BENZ	MERCURY	MEYERS_MANX	MG_CAR_COMP	MICRO_COMPACT_CAR_SMART	MIMSA	MINI	MITSUBISHI	MK	MORGAN	MORRIS	NETHERLANDS_CAR	NISSAN	OLDSMOBILE	OLEOPEL	OLMEDO	OPEL	PACKARD	PEUGEOT	PGO	PILGRIM	PLA	PLYMOUTH	POESSL	PONTIAC	PORSCHE	RAM	RENAULT	RENAULT_TECH	RILEY	ROLLS_ROYCE	ROVER	SAAB	SALVADOR	SATURN	SCION	SEAT	SIFTT	SIMCA	SIN_MARCA	SKODA	SMART	SOVRA_LM	SSANGYONG	STANDARD_STEELL	STUDEBAKER	SUBARU	SUN_LIVING	SUZUKI	T.V.R.	TATA	TESLA	TESLA_MOTORS	THOROUGHRED	TOYOTA	TRABANT	TRIPOD	TRIUMPH	TSD	VAUXHALL	VAZ	VOISIN_AUTONACIONAL	VOLKNER	VOLKSWAGEN	VOLKSWAGEN_AG	VOLKSWAGEN_V_W	VOLVO	VW-PORSCHE	WESTFIELD	WIESMANN	WILLYS_OVERLAND	WILLYS_VIASA
Tarragona	0	0	0	0	0	37	0	0	0	0	0	0	0	1	420	0	0	0	1	0	0	0	0	0	0	1	0	0	406	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	1305	0	0	0	10	1048	0	0	2	2	0	0	1	0	0	0	2	1	0	1	0	0	0	0	1	212	603	14	0	0	0	0	0	0	0	0	98	0	808	0	5	0	0	0	0	20	0	0	0	0	0	130	0	0	0	258	0	0	0	0	0	0	0	0	1	15	126	0	0	0	0	1	0	0	0	0	3	214	0	3	1	3	576	0	0	0	0	0	169	18	0	0	0	0	520	0	0	0	376	0	1440	0	0	0	0	0	0	36	0	608	0	0	0	0	2	0	0	0	771	0	0	0	275	11	0	40	0	0	39	0	120	0	0	1	0	0	868	0	0	0	0	0	0	0	0	984	0	11	101	0	0	0	0	0
Teruel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	3	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	90	0	1	0	0	0	0	0	0	0	1	0	83	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	54	0	0	0	0	0	1	13	0	0	0	0	68	0	0	0	76	0	247	0	0	0	0	0	0	0	0	111	1	0	0	0	0	0	0	0	188	0	0	0	0	0	0	12	0	0	0	0	24	0	0	0	0	0	103	0	0	0	0	0	0	0	0	11	0	3	0	0	0	0	0	0
Toledo	0	0	0	0	0	35	0	0	0	0	0	0	0	1	2350	0	0	0	0	0	0	0	1	0	1	7	0	0	3130	68	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	3906	0	0	0	6	513	0	0	0	0	1	0	0	0	0	0	0	1	0	0	407	0	0	0	1	104	235	3	0	0	0	0	0	0	0	0	44	0	1366	0	14	0	0	0	0	28	0	0	0	1	0	55	0	0	0	399	0	1	0	0	0	0	1	1	1	7	27	0	0	0	0	0	0	2	0	0	12	26	0	26	2	6	2993	0	0	1	0	0	880	408	0	0	0	0	306	0	0	0	1978	0	5370	0	0	0	0	0	0	58	0	860	0	0	1	0	0	0	0	0	922	0	0	0	257	135	0	60	0	0	58	0	101	0	0	58	5	0	703	0	0	0	0	0	0	0	0	1359	0	3	136	0	0	0	0	0
Valencia/València	0	0	0	0	1	240	0	0	0	0	0	0	0	2	1299	0	0	0	0	0	0	0	0	1	0	4	0	0	1145	8	0	0	1	0	0	0	0	0	0	0	1	0	11	1	3	1	0	1196	1	0	0	30	2879	0	0	0	0	1	0	0	0	0	0	1	4	0	0	2	0	0	0	9	736	5365	100	0	0	0	0	0	0	0	0	244	0	2544	0	17	0	0	0	0	81	0	0	0	0	0	498	0	3	0	3487	0	0	0	2	0	0	1	4	1	49	9	0	0	1	0	1	0	2	0	0	11	835	0	0	1	1	553	0	0	0	0	0	406	190	0	0	0	0	1877	0	0	0	1497	0	3547	0	0	0	0	1	0	135	0	2441	2	0	2	0	2	0	0	0	2431	0	0	0	519	11	0	23	0	0	39	0	267	0	0	7	4	0	653	0	0	1	0	1	0	1	0	3105	0	16	512	0	1	0	0	0
Valladolid	0	0	0	0	0	17	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	366	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	37	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	88	228	5	0	1	0	0	0	0	0	0	26	0	442	0	2	0	0	0	0	17	0	0	0	0	0	41	0	0	0	656	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	1	110	0	0	0	1	423	0	0	0	0	0	62	40	0	0	0	0	283	0	0	0	235	0	603	0	0	0	0	0	1	10	0	1301	0	0	0	0	0	0	0	0	11	0	0	0	121	7	0	16	0	0	10	0	79	0	0	0	0	0	508	0	0	0	0	0	0	0	0	102	0	1	70	0	0	1	0	0
Bizkaia	0	0	0	0	0	28	1	0	0	0	0	0	0	2	712	0	0	0	0	0	0	0	0	0	0	2	0	0	372	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1267	0	0	0	14	1185	1	0	0	0	0	0	0	0	0	0	4	1	1	0	27	0	0	0	1	642	858	13	0	0	0	0	0	0	0	0	144	0	779	0	0	0	0	0	0	12	0	0	0	0	0	56	0	0	0	1103	0	0	0	0	0	0	0	0	0	14	245	0	0	0	0	3	0	0	0	0	11	453	0	6	0	6	721	0	0	0	0	0	287	142	0	0	0	0	437	0	0	0	1115	0	1505	0	0	0	0	0	0	37	0	1393	0	0	0	0	1	0	0	0	1605	0	0	0	373	0	0	36	0	0	52	1	95	0	0	1	4	0	977	0	0	0	0	0	0	0	0	923	2	22	208	0	1	0	0	0
Zamora	0	0	0	0	0	2	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	95	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	72	1	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	35	0	0	0	1	148	0	0	0	0	0	6	9	0	0	1	0	80	0	0	0	46	0	158	0	0	0	0	0	0	4	0	175	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	140	0	0	0	0	0	0	0	0	33	0	4	38	0	0	0	0	0
Zaragoza	0	0	0	0	0	306	0	0	0	0	0	0	0	0	602	0	0	0	0	1	0	0	0	0	0	0	0	0	492	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	390	0	0	0	11	665	1	0	0	0	0	0	0	0	0	0	3	9	0	0	20	0	0	0	2	1472	372	6	0	0	0	0	0	0	0	0	129	0	612	0	10	0	0	0	0	8	0	0	0	0	0	1171	0	1	0	1020	0	0	0	0	0	0	0	0	0	16	158	0	0	0	0	0	0	0	0	0	8	267	0	4	0	1	486	0	0	0	1	0	123	135	0	0	0	0	420	0	0	0	332	0	680	0	0	0	0	0	0	57	0	500	2	0	0	1	0	0	0	0	748	0	0	0	483	7	0	50	0	0	35	0	434	0	0	0	3	0	617	0	0	0	0	0	0	0	0	841	0	7	152	0	0	0	0	0
Ceuta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	1	0	0	0	0	0	0	0	0	3	0	80	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	74	0	0	0	0	0	8	53	0	0	0	0	34	0	0	0	43	0	88	0	0	0	0	0	0	2	0	92	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	61	0	0	0	0	2	0	0	0	124	0	1	6	0	0	0	0	0
Melilla	0	0	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	15	1	0	0	0	0	0	0	0	0	2	0	125	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	59	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	210	0	0	0	0	0	5	71	0	0	0	0	50	0	0	0	36	0	64	0	0	0	0	0	0	2	0	52	0	0	0	0	0	0	0	0	83	0	0	0	1	1	0	18	0	0	7	0	6	0	0	0	0	0	100	0	0	0	0	0	0	0	0	179	0	1	4	0	0	0	0	0
